pm25,pm10,co2,humidity,temperature,voc_reported,label
12.21,25.18,485.87,47.4,22.79,159.6,NORMAL
9.63,21.79,511.74,43.54,25.01,147.69,NORMAL
8.6,22.33,508.93,41.67,24.31,141.99,NORMAL
9.19,26.89,510.22,48.98,24.54,152.96,NORMAL
15.72,26.05,489.64,43.36,25.23,138.13,NORMAL
9.59,24.26,485.9,47.95,23.1,155.21,NORMAL
7.04,22.26,508.69,42.88,24.99,142.92,NORMAL
7.1,25.46,507.39,41.52,24.28,136.26,NORMAL
10.26,25.94,508.01,46.78,24.41,146.61,NORMAL
12.54,27.22,480.01,42.23,25.15,134.86,NORMAL
6.49,24.43,485.48,48.89,22.82,150.35,NORMAL
10.3,21.92,511.04,42.86,25.37,143.91,NORMAL
6.8,22.53,501.08,41.29,24.55,136.48,NORMAL
12.04,27.09,515.2,47.36,24.53,152.63,NORMAL
12.36,30.01,476.17,41.23,25.3,128.34,NORMAL
7.66,23.73,484.4,50.02,22.8,155.91,NORMAL
10.69,25.25,508.45,43.57,25.22,154.65,NORMAL
5.96,26.38,506.37,42.07,24.88,135.29,NORMAL
11.96,29.08,527.68,47.13,23.81,155.09,NORMAL
15.39,29.03,475.38,41.62,24.93,129.55,NORMAL
4.53,23.9,487.1,51.76,22.48,174.09,NORMAL
11.05,24.38,509.76,43.68,25.76,149.45,NORMAL
5.84,28.13,502.16,42.84,25.09,128.53,NORMAL
12.63,26.04,521.25,46.31,23.91,140.95,NORMAL
14.09,30.94,487.29,42.29,25.27,122.69,NORMAL
6.8,28.55,487.86,51.72,22.46,187.8,NORMAL
11.44,18.78,523.91,44.05,25.6,157.35,NORMAL
10.08,28.29,494.66,44.16,24.58,125.39,NORMAL
10.13,23.8,516.09,47.02,23.75,148.69,NORMAL
13.71,32.56,474.62,44.09,24.12,128.28,NORMAL
6.81,26.17,503.77,51.83,22.42,212.01,NORMAL
12.44,15.35,498.85,45.49,25.45,165.84,NORMAL
6.87,29.35,490.43,43.76,24.07,123.33,NORMAL
11.35,23.75,528.86,47.74,23.62,150.4,NORMAL
12.27,31.74,486.8,42.12,23.88,130.34,NORMAL
7.14,28.62,499.96,51.9,22.48,211.23,NORMAL
13.17,12.6,495.05,43.75,25.03,168.85,NORMAL
5.45,28.72,502.73,45.41,23.84,126.41,NORMAL
13.06,22.36,525.32,48.34,23.37,155.34,NORMAL
12.29,31.54,484.53,41.63,24.36,139.13,NORMAL
8.28,25.83,482.39,51.95,22.53,226.6,NORMAL
14.11,11.1,511.5,43.61,24.88,173.15,NORMAL
5.18,31.42,490.25,45.47,23.2,133.94,NORMAL
12.39,21.85,526.12,48.86,23.41,142.99,NORMAL
11.3,30.44,467.45,42.58,24.43,136.63,NORMAL
8.25,25.55,475.07,54.53,22.98,239.44,NORMAL
15.87,12.01,510.76,43.77,24.89,170.76,NORMAL
4.95,27.96,495.74,44.77,23.28,133.43,NORMAL
11.99,24.37,524.64,48.45,23.6,142.4,NORMAL
12.12,27.59,467.32,41.17,24.94,143.05,NORMAL
7.41,22.58,465.8,54.05,22.94,228.56,NORMAL
14.92,11.98,503.92,43.42,25.09,171.37,NORMAL
2.96,26.43,497.17,44.76,23.53,137.78,NORMAL
11.44,24.49,520.47,48.84,23.42,148.43,NORMAL
14.03,28.06,472.16,42.65,24.93,139.78,NORMAL
6.46,23.62,465.4,54.5,22.69,229.21,NORMAL
15.86,11.08,494.75,42.92,24.85,176.02,NORMAL
3.81,25.32,506.4,44.56,23.14,141.48,NORMAL
12.98,26.75,530.57,50.21,23.5,159.81,NORMAL
14.18,24.29,473.02,44.95,24.63,129.99,NORMAL
5.91,24.9,473.89,53.6,22.9,229.4,NORMAL
14.88,12.88,490.4,43.33,24.45,170.5,NORMAL
4.96,24.88,496.48,44.4,23.44,130.83,NORMAL
11.19,24.96,525.92,48.52,23.2,148.78,NORMAL
11.71,23.29,461.91,43.91,24.27,131.57,NORMAL
5.62,26.32,471.36,53.35,22.98,231.1,NORMAL
13.89,14.73,484.67,43.05,24.81,166.29,NORMAL
6.34,26.67,490.68,44.38,23.8,133.28,NORMAL
10.77,26.8,533.2,49.08,23.24,154.15,NORMAL
8.8,20.7,462.95,43.92,24.19,141.95,NORMAL
7.76,30.07,481.48,51.2,23.17,218.26,NORMAL
14.76,15.7,469.1,42.04,24.41,165.6,NORMAL
6.97,23.51,483.62,44.49,24.07,131.69,NORMAL
10.83,24.36,534.18,50.19,23.29,151.95,NORMAL
10.06,21.81,468.37,44.03,24.61,146.44,NORMAL
10.5,29.7,474.83,50.42,23.5,212.04,NORMAL
13.85,15.49,463.22,41.08,24.49,168.93,NORMAL
8.24,25.91,515.63,42.4,23.87,142.73,NORMAL
9.9,25.84,528.35,50.69,23.61,164.87,NORMAL
13.66,22.65,465.92,45.16,24.95,154.64,NORMAL
11.9,30.25,463.79,50.39,23.53,203.86,NORMAL
12.57,14.56,462.4,41.81,24.04,165.3,NORMAL
9.5,26.33,537.68,41.43,23.64,154.9,NORMAL
11.6,27.07,520.73,51.72,23.78,173.13,NORMAL
15.11,22.6,502.14,42.96,25.1,166.79,NORMAL
9.17,27.87,470.02,49.64,23.83,201.41,NORMAL
10.96,17.56,479.16,42.17,24.32,160.13,NORMAL
9.56,30.13,566.51,42.32,23.21,161.71,NORMAL
9.37,29.62,503.09,53.1,23.59,190.34,NORMAL
16.7,27.19,527.7,43.74,25.15,185.76,NORMAL
9.79,25.4,487.34,49.45,24.08,211.28,NORMAL
11.75,15.55,478.31,40.51,24.48,167.62,NORMAL
10.0,34.71,596.67,42.71,23.32,174.25,NORMAL
11.9,28.81,501.33,52.34,23.62,179.75,NORMAL
18.73,32.27,559.24,44.68,25.34,197.27,NORMAL
7.04,23.52,496.3,48.86,23.42,212.05,NORMAL
11.75,18.2,486.65,40.5,24.83,169.56,NORMAL
9.71,35.68,625.74,43.53,23.72,179.96,NORMAL
10.28,27.29,498.65,52.02,23.59,175.22,NORMAL
17.35,35.57,574.42,44.46,25.31,205.35,NORMAL
8.05,25.65,506.74,47.1,23.16,201.45,NORMAL
11.75,25.01,516.51,38.19,24.59,163.39,NORMAL
10.86,42.2,649.26,43.83,23.62,191.82,NORMAL
12.39,25.86,495.02,51.29,23.8,174.29,NORMAL
21.55,38.8,608.87,44.84,24.85,218.99,NORMAL
7.48,20.47,517.73,47.85,23.33,196.49,NORMAL
10.09,22.34,511.74,39.17,24.34,162.12,NORMAL
13.69,43.3,679.26,44.29,23.94,196.15,NORMAL
13.4,24.86,484.98,52.38,23.98,176.5,NORMAL
23.62,39.02,630.43,43.73,24.86,219.85,NORMAL
5.19,19.25,514.78,48.08,23.34,204.63,NORMAL
9.96,21.56,517.01,39.71,24.34,166.58,NORMAL
15.01,47.58,713.75,44.99,23.54,205.18,NORMAL
11.9,25.29,483.63,53.79,24.17,187.87,NORMAL
24.21,40.48,653.21,44.84,24.89,235.3,NORMAL
6.12,17.67,520.98,48.77,23.52,204.01,NORMAL
9.55,23.75,517.89,41.2,24.19,167.24,NORMAL
17.0,48.94,732.53,45.6,23.51,218.23,NORMAL
13.73,26.97,486.12,53.91,24.62,191.69,NORMAL
27.75,46.68,676.18,42.31,24.81,248.74,NORMAL
6.75,15.16,524.58,49.14,23.64,197.24,NORMAL
10.3,22.97,498.22,41.55,23.75,170.17,NORMAL
18.15,44.86,741.12,47.21,23.94,219.2,NORMAL
14.54,26.86,495.9,55.72,24.78,208.13,NORMAL
29.99,48.68,713.72,41.05,24.9,257.45,NORMAL
5.83,18.11,519.66,50.43,22.87,204.57,NORMAL
11.8,22.91,485.09,42.19,23.06,165.03,NORMAL
20.09,42.83,779.47,46.79,23.83,220.8,NORMAL
11.28,30.52,484.43,56.74,25.06,222.71,NORMAL
30.47,51.08,745.33,41.21,24.7,261.66,RISING_RISK
5.79,20.91,510.97,50.59,22.83,207.6,NORMAL
10.91,21.06,489.26,42.27,22.99,170.74,NORMAL
23.79,43.86,788.52,47.0,23.96,235.6,NORMAL
14.32,31.07,479.94,57.1,25.02,223.09,NORMAL
31.82,54.21,764.85,42.02,24.34,258.69,RISING_RISK
8.35,22.34,496.75,52.04,22.79,212.1,NORMAL
10.64,24.45,497.57,42.5,22.95,171.28,NORMAL
25.28,46.93,811.54,48.63,23.56,253.69,NORMAL
12.43,27.49,476.45,56.72,24.81,219.25,NORMAL
34.84,56.51,791.68,42.71,24.55,274.35,RISING_RISK
7.29,21.5,501.25,51.97,22.35,224.15,NORMAL
14.0,21.5,502.46,42.4,22.91,165.25,NORMAL
24.54,47.07,815.01,48.71,23.25,256.6,NORMAL
10.32,27.74,471.42,55.4,24.49,211.47,NORMAL
35.36,54.1,805.31,42.48,24.7,278.03,RISING_RISK
5.24,21.13,485.03,50.69,22.45,218.98,NORMAL
15.76,20.11,505.71,40.82,23.2,168.31,NORMAL
22.75,48.98,817.18,48.71,22.99,263.98,NORMAL
7.91,30.69,470.07,54.25,24.51,212.43,NORMAL
36.12,56.11,827.04,41.99,24.72,283.8,RISING_RISK
5.37,20.3,476.76,50.27,22.27,213.12,NORMAL
17.1,20.33,511.03,40.14,23.15,161.45,NORMAL
21.02,50.77,817.87,47.45,22.72,268.59,RISING_RISK
9.98,28.25,472.39,53.45,24.49,207.76,NORMAL
36.25,58.18,836.49,42.23,24.64,283.73,RISING_RISK
3.33,18.25,479.38,51.7,22.18,207.06,NORMAL
15.52,18.33,520.07,39.17,23.18,145.71,NORMAL
22.51,50.34,842.67,46.62,22.16,273.45,RISING_RISK
9.52,27.59,479.14,53.17,24.99,207.62,NORMAL
35.7,58.44,850.44,43.12,24.31,286.51,RISING_RISK
4.99,19.84,484.58,52.39,22.2,213.33,NORMAL
15.11,16.88,506.34,39.32,23.07,149.08,NORMAL
26.0,51.64,845.72,47.78,22.06,287.23,RISING_RISK
7.89,25.97,486.91,53.2,24.94,202.29,NORMAL
35.28,59.74,846.9,44.95,24.37,290.28,RISING_RISK
5.72,18.22,481.15,52.86,22.61,211.82,NORMAL
13.18,16.12,497.63,40.92,23.13,145.26,NORMAL
28.51,53.17,860.81,50.27,22.55,306.04,RISING_RISK
5.91,26.73,497.65,53.04,25.12,201.33,NORMAL
35.5,60.17,851.35,46.14,24.35,307.28,RISING_RISK
4.84,19.54,477.16,53.44,22.03,219.3,NORMAL
9.89,18.59,492.13,41.29,23.06,142.32,NORMAL
27.61,52.04,891.95,49.61,23.06,311.54,RISING_RISK
7.91,23.51,491.41,52.3,25.23,203.93,NORMAL
35.18,63.9,864.57,46.99,24.43,313.22,RISING_RISK
4.48,22.68,479.67,52.85,22.17,215.04,NORMAL
8.93,15.48,480.55,41.98,23.3,138.8,NORMAL
27.72,54.84,896.14,49.91,23.07,310.64,RISING_RISK
10.33,23.44,493.61,53.58,24.88,195.93,NORMAL
34.97,65.9,872.36,46.72,24.61,323.25,RISING_RISK
5.26,23.05,481.19,52.54,21.84,228.13,NORMAL
8.17,14.75,483.9,42.26,23.31,147.74,NORMAL
30.79,53.21,911.67,49.49,23.38,318.49,RISING_RISK
11.15,26.14,471.69,50.71,24.92,183.6,NORMAL
35.37,66.12,887.81,47.81,24.45,330.44,RISING_RISK
7.15,23.16,484.11,52.94,22.09,218.54,NORMAL
8.45,14.06,484.66,41.23,22.96,138.14,NORMAL
29.05,56.18,925.28,49.44,23.98,333.99,RISING_RISK
13.68,22.46,491.49,50.36,25.04,178.2,NORMAL
32.57,64.6,896.39,46.19,23.93,326.6,RISING_RISK
5.92,24.0,481.57,53.14,22.13,211.24,NORMAL
6.61,13.56,479.93,41.15,22.66,138.47,NORMAL
29.11,58.81,932.64,49.25,24.52,337.61,RISING_RISK
12.59,23.82,490.69,50.8,25.28,182.54,NORMAL
35.41,63.25,887.52,46.69,23.83,330.42,RISING_RISK
5.2,21.07,484.87,51.88,22.24,198.1,NORMAL
6.72,12.98,492.73,40.13,22.95,139.92,NORMAL
29.75,59.42,943.75,48.68,24.62,348.99,RISING_RISK
13.4,24.71,481.72,51.04,25.74,192.2,NORMAL
38.77,67.31,903.11,46.39,23.89,327.06,RISING_RISK
7.14,18.62,484.21,53.06,22.45,201.45,NORMAL
4.15,11.74,485.71,40.88,23.47,138.75,NORMAL
30.39,60.33,944.19,47.27,24.9,350.01,RISING_RISK
14.43,21.64,481.57,51.62,25.77,184.62,NORMAL
39.95,66.02,906.72,47.44,24.29,331.6,RISING_RISK
8.33,20.58,493.14,51.66,22.46,192.01,NORMAL
2.55,9.96,497.17,42.02,23.55,128.51,NORMAL
32.29,61.73,949.99,46.37,24.63,348.61,RISING_RISK
16.19,21.42,519.45,50.96,25.05,195.38,NORMAL
40.98,71.13,910.3,47.87,24.0,339.47,RISING_RISK
8.54,20.08,501.09,54.1,22.63,193.36,NORMAL
3.27,12.2,477.96,41.52,23.96,130.97,NORMAL
33.67,65.62,959.04,44.82,24.94,354.61,RISING_RISK
18.66,23.84,536.2,51.19,24.94,213.77,NORMAL
42.59,69.69,923.98,45.68,23.93,327.63,RISING_RISK
10.12,23.44,498.3,54.56,22.31,192.89,NORMAL
2.35,9.05,484.94,39.71,23.59,134.57,NORMAL
34.95,64.81,973.23,45.27,24.81,353.62,RISING_RISK
19.44,28.24,564.84,50.7,24.8,224.0,NORMAL
43.79,69.76,931.71,45.96,23.94,332.65,RISING_RISK
11.12,25.9,489.03,55.42,22.24,208.88,NORMAL
5.59,10.17,478.88,39.15,23.77,124.47,NORMAL
36.55,65.86,969.05,45.66,24.94,352.69,RISING_RISK
20.61,33.64,590.82,50.77,24.78,232.88,NORMAL
44.84,70.33,923.73,47.05,24.35,342.14,RISING_RISK
11.34,27.32,490.13,54.23,22.53,202.66,NORMAL
7.18,12.99,467.52,39.55,23.9,124.28,NORMAL
36.23,66.27,972.99,45.71,25.15,360.84,RISING_RISK
21.92,32.51,613.39,50.18,24.55,244.29,NORMAL
42.81,65.25,939.73,48.33,24.2,353.38,RISING_RISK
11.46,28.79,497.08,52.48,22.03,199.94,NORMAL
6.42,15.65,468.73,40.39,23.95,121.01,NORMAL
37.92,67.54,973.94,46.09,25.76,368.43,RISING_RISK
27.07,34.53,640.46,50.61,24.48,255.73,NORMAL
44.02,66.21,952.52,46.78,24.38,344.92,RISING_RISK
10.55,26.98,507.39,52.32,22.15,193.34,NORMAL
7.59,16.25,479.08,41.01,23.9,125.05,NORMAL
39.89,65.12,980.84,46.58,25.99,365.17,RISING_RISK
27.93,39.53,668.32,50.39,24.69,257.97,NORMAL
43.59,66.61,960.67,46.63,24.47,351.83,RISING_RISK
8.21,25.39,497.71,52.93,21.88,183.51,NORMAL
6.93,18.85,473.25,41.99,23.28,125.51,NORMAL
39.49,66.54,984.68,46.47,25.85,367.36,RISING_RISK
28.82,40.83,695.98,49.22,24.59,274.7,NORMAL
44.98,69.21,968.56,48.58,24.3,358.12,RISING_RISK
7.8,24.94,507.94,53.04,22.46,178.44,NORMAL
8.06,15.82,474.38,43.53,23.35,116.88,NORMAL
39.62,64.42,986.29,47.18,25.7,368.35,RISING_RISK
32.36,43.23,717.77,48.31,24.47,276.02,NORMAL
42.15,72.19,987.4,48.24,24.76,361.5,RISING_RISK
4.25,26.98,513.93,53.39,22.57,186.59,NORMAL
4.55,16.39,461.18,41.96,23.52,119.38,NORMAL
37.8,58.75,962.06,46.69,25.42,358.53,RISING_RISK
33.77,44.2,739.71,47.99,24.16,287.2,NORMAL
40.2,72.4,993.79,50.66,25.47,371.74,RISING_RISK
4.58,26.56,511.16,54.14,22.67,192.31,NORMAL
7.23,19.38,466.21,42.83,23.44,120.65,NORMAL
35.83,56.05,932.34,47.92,25.3,349.1,RISING_RISK
37.45,46.64,743.6,49.15,23.61,300.68,RISING_RISK
40.94,74.75,995.21,51.07,25.67,371.45,RISING_RISK
7.29,23.92,508.96,53.16,23.01,195.7,NORMAL
8.94,23.45,470.45,43.43,23.56,120.78,NORMAL
35.17,57.02,905.41,49.54,24.99,338.07,RISING_RISK
38.44,46.66,775.7,49.95,23.84,317.63,RISING_RISK
42.96,75.84,981.92,49.77,25.17,354.76,RISING_RISK
7.46,26.32,494.56,54.98,23.4,196.53,NORMAL
10.16,21.69,473.77,44.27,23.74,111.19,NORMAL
37.03,55.58,887.48,50.11,25.02,328.04,RISING_RISK
40.76,51.21,791.87,50.52,23.6,322.19,RISING_RISK
40.02,73.51,962.88,49.1,25.5,348.13,RISING_RISK
7.68,22.01,499.22,53.95,23.81,187.77,NORMAL
12.78,19.42,499.4,44.58,23.87,101.77,NORMAL
36.25,54.22,874.5,48.03,24.97,312.42,RISING_RISK
38.6,51.99,801.01,50.4,23.85,332.81,RISING_RISK
34.73,73.18,951.32,50.2,25.76,331.61,RISING_RISK
8.21,21.41,481.82,54.02,24.02,186.33,NORMAL
11.73,22.38,502.79,43.77,23.47,112.01,NORMAL
37.19,55.53,851.44,46.68,24.59,309.81,RISING_RISK
42.37,52.97,819.97,52.59,23.82,335.3,RISING_RISK
32.72,69.89,934.86,49.32,25.8,326.56,RISING_RISK
8.96,21.03,487.92,55.29,24.79,186.72,NORMAL
10.68,22.71,496.94,43.39,23.19,121.36,NORMAL
35.16,54.34,848.76,46.97,25.09,301.54,RISING_RISK
41.22,55.38,828.56,51.96,24.27,334.28,RISING_RISK
30.96,65.52,916.79,50.8,25.91,331.46,RISING_RISK
6.77,22.29,483.91,56.16,24.4,194.76,NORMAL
7.99,23.46,502.78,43.9,23.37,130.56,NORMAL
32.21,51.85,838.8,46.42,24.94,286.48,RISING_RISK
41.88,57.66,857.66,52.41,23.95,347.04,RISING_RISK
28.59,63.23,887.98,53.49,25.5,325.34,RISING_RISK
6.91,20.81,492.96,54.8,24.52,186.82,NORMAL
10.48,26.83,504.02,45.67,23.25,147.29,NORMAL
29.35,50.31,807.42,45.82,24.52,271.09,RISING_RISK
42.56,59.67,873.22,53.54,23.53,354.44,RISING_RISK
28.01,60.16,866.39,53.9,25.39,333.21,RISING_RISK
8.92,22.43,488.34,55.09,24.4,184.18,NORMAL
12.43,27.09,508.95,45.95,23.56,135.95,NORMAL
27.47,49.79,795.08,46.68,24.81,274.25,NORMAL
41.33,63.31,881.02,54.94,22.94,372.66,RISING_RISK
28.19,58.72,844.61,54.16,25.0,328.82,RISING_RISK
10.36,22.3,498.57,52.9,24.36,173.07,NORMAL
11.3,26.63,517.36,46.84,23.33,133.11,NORMAL
25.62,47.13,784.82,46.18,25.19,267.96,NORMAL
39.35,63.62,906.95,54.02,22.77,370.84,RISING_RISK
27.69,57.0,814.13,56.43,25.33,329.49,RISING_RISK
10.28,22.96,498.94,51.33,24.21,172.34,NORMAL
13.1,26.07,523.39,48.06,23.17,135.97,NORMAL
25.46,45.65,768.8,43.98,24.75,245.09,NORMAL
39.66,68.14,907.79,52.88,22.46,364.98,RISING_RISK
26.03,56.42,807.66,55.6,25.06,318.03,RISING_RISK
10.55,24.48,491.13,52.69,23.95,172.45,NORMAL
14.83,23.69,509.64,50.03,23.64,142.01,NORMAL
25.77,44.48,755.01,43.28,24.82,236.8,NORMAL
41.71,71.47,932.8,52.63,22.87,369.97,RISING_RISK
28.17,52.11,789.72,55.74,24.65,309.22,RISING_RISK
10.32,25.92,489.29,51.85,23.87,182.77,NORMAL
15.02,22.34,516.58,48.79,23.8,137.23,NORMAL
24.52,42.99,740.53,41.32,24.86,223.9,NORMAL
43.55,75.02,948.02,51.72,22.9,380.3,RISING_RISK
28.63,53.1,776.62,54.56,23.89,293.34,RISING_RISK
12.81,24.26,480.57,50.71,23.83,175.96,NORMAL
16.17,24.26,519.15,47.99,24.0,139.7,NORMAL
22.27,42.04,737.08,41.22,25.59,216.61,NORMAL
44.56,73.59,956.78,52.09,23.11,386.15,RISING_RISK
30.44,51.14,778.74,55.19,23.78,301.96,RISING_RISK
10.12,25.0,493.63,50.67,23.85,182.8,NORMAL
15.33,24.56,511.91,47.83,24.0,130.78,NORMAL
23.95,40.3,731.81,42.11,25.5,216.6,NORMAL
46.42,71.89,964.55,52.44,23.25,396.57,RISING_RISK
32.03,51.02,796.62,54.16,23.77,306.7,RISING_RISK
10.08,25.58,503.25,51.62,23.75,178.01,NORMAL
14.6,19.98,504.78,47.32,24.03,118.51,NORMAL
23.77,38.37,720.48,42.89,25.41,227.2,NORMAL
47.45,75.18,969.71,51.99,23.37,402.71,RISING_RISK
33.27,55.44,818.99,53.68,23.65,303.41,RISING_RISK
9.92,23.34,501.82,52.14,23.32,182.81,NORMAL
13.66,15.47,509.51,49.38,24.63,121.63,NORMAL
22.8,34.74,716.64,43.65,25.15,222.6,NORMAL
47.03,81.71,974.08,52.11,23.55,404.43,RISING_RISK
33.42,56.02,837.96,52.63,23.41,300.09,RISING_RISK
10.47,20.11,496.03,51.91,23.22,185.16,NORMAL
13.49,16.07,496.48,49.81,24.25,125.63,NORMAL
21.5,34.2,721.61,43.48,25.45,217.47,NORMAL
48.48,81.81,979.86,51.48,23.53,406.8,RISING_RISK
35.86,55.91,856.01,54.2,23.69,317.76,RISING_RISK
10.72,22.08,503.31,51.97,23.09,177.7,NORMAL
12.62,17.71,489.85,50.89,24.0,144.25,NORMAL
20.25,34.43,705.15,44.38,25.17,207.1,NORMAL
50.56,79.04,993.2,49.23,23.4,397.01,RISING_RISK
35.0,55.45,871.43,53.77,24.01,335.35,RISING_RISK
9.76,22.35,494.69,52.43,23.57,187.26,NORMAL
14.51,17.76,487.37,51.5,23.87,149.28,NORMAL
19.95,31.49,697.26,44.83,25.04,204.32,NORMAL
50.36,85.69,995.64,49.65,22.98,392.26,RISING_RISK
37.55,57.41,864.37,53.88,24.02,346.02,RISING_RISK
10.58,27.54,482.97,53.86,23.62,191.65,NORMAL
16.66,17.8,486.0,50.25,23.01,131.43,NORMAL
20.58,30.04,694.02,46.05,25.35,209.06,NORMAL
51.14,84.76,1002.81,49.78,23.07,382.26,STAGNATION_PREDICTED
38.7,57.78,882.4,52.6,24.47,343.15,RISING_RISK
9.01,28.53,481.05,54.77,23.95,186.95,NORMAL
17.53,13.62,503.31,49.63,23.48,132.2,NORMAL
20.71,30.03,693.49,46.19,24.96,215.04,NORMAL
50.16,86.11,986.4,49.87,23.04,403.52,RISING_RISK
39.7,57.73,882.69,54.43,24.91,348.41,RISING_RISK
11.5,27.68,479.23,55.92,23.89,194.17,NORMAL
14.43,12.55,508.2,46.35,23.11,128.37,NORMAL
20.43,31.07,669.98,47.72,25.27,217.21,NORMAL
50.7,85.18,990.2,50.27,22.72,396.1,RISING_RISK
41.76,57.9,912.35,53.03,25.26,338.22,RISING_RISK
10.45,30.22,478.49,56.86,24.04,192.58,NORMAL
15.03,11.08,506.96,46.64,23.12,128.85,NORMAL
18.57,32.22,663.51,48.73,25.03,226.11,NORMAL
52.29,84.66,991.79,51.27,22.71,398.8,RISING_RISK
41.85,60.27,922.52,54.02,25.68,350.17,RISING_RISK
7.74,28.09,485.06,57.11,23.34,197.75,NORMAL
16.31,12.98,492.26,47.74,22.76,138.86,NORMAL
20.77,29.17,665.94,50.94,25.68,225.42,NORMAL
53.78,85.21,993.3,52.08,22.47,403.63,RISING_RISK
43.23,62.96,917.07,53.96,25.85,352.15,RISING_RISK
8.19,30.29,494.84,57.75,23.63,185.73,NORMAL
22.08,15.88,517.96,49.46,23.55,158.83,NORMAL
20.98,26.78,658.32,53.05,25.39,227.82,NORMAL
52.88,83.89,992.29,53.03,22.39,406.11,RISING_RISK
43.34,66.56,923.87,54.12,25.89,356.36,RISING_RISK
10.18,31.79,491.06,56.67,23.59,180.41,NORMAL
25.07,19.0,560.22,48.24,23.17,159.91,NORMAL
20.15,25.59,660.47,52.31,25.74,223.52,NORMAL
51.58,78.61,974.66,52.55,22.2,394.29,RISING_RISK
43.86,64.85,938.82,53.78,25.28,353.0,RISING_RISK
8.21,29.43,492.48,57.58,23.82,181.16,NORMAL
28.13,19.68,579.2,47.84,22.86,164.91,NORMAL
20.18,25.26,645.8,52.57,25.8,224.68,NORMAL
52.63,77.79,950.6,49.93,21.95,373.11,RISING_RISK
42.28,67.96,949.36,52.43,24.94,347.37,RISING_RISK
9.45,26.78,483.51,58.24,23.8,177.61,NORMAL
27.69,23.22,611.07,48.03,23.03,180.56,NORMAL
20.9,26.05,636.32,50.5,26.22,221.65,NORMAL
49.92,71.03,916.65,49.59,21.45,371.62,RISING_RISK
42.93,69.63,955.79,52.36,25.49,356.12,RISING_RISK
13.5,26.73,491.2,57.16,23.63,182.0,NORMAL
26.73,25.86,629.95,48.18,23.44,195.75,NORMAL
21.86,26.66,657.37,50.12,25.87,231.75,NORMAL
48.27,70.27,901.48,49.53,21.82,351.57,RISING_RISK
44.57,69.14,952.28,53.2,25.38,362.14,RISING_RISK
14.5,29.07,524.92,55.06,23.53,185.6,NORMAL
27.07,28.55,664.03,47.96,23.37,207.58,NORMAL
23.52,29.16,669.65,49.71,25.65,233.8,NORMAL
46.57,66.14,879.55,48.92,22.05,342.76,RISING_RISK
43.88,70.13,959.88,53.3,25.53,363.67,RISING_RISK
14.83,32.36,550.14,53.85,23.09,182.95,NORMAL
28.0,31.35,685.46,49.02,23.83,223.6,NORMAL
24.96,31.2,701.51,49.7,25.48,244.35,NORMAL
45.12,60.71,862.17,48.23,22.21,330.19,RISING_RISK
43.47,73.4,971.53,52.84,25.5,355.1,RISING_RISK
17.7,34.39,578.32,53.28,22.8,189.02,NORMAL
30.74,34.8,697.31,47.66,24.05,216.34,NORMAL
27.58,31.82,719.38,48.73,25.71,249.98,NORMAL
40.71,55.95,841.92,49.7,22.37,333.26,RISING_RISK
42.27,71.86,960.56,52.9,25.24,355.61,RISING_RISK
19.01,35.6,593.93,51.24,22.65,192.85,NORMAL
33.38,34.74,717.24,47.55,23.78,224.69,NORMAL
